Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
2098,Aloe Vera,Water 200mL,"Basil, Maple Syrup",Bulking,170mL,343mL,67,15,4,1
2099,Green Tea,"Green Tea Leaves 5g, Water 200mL",Protein Powder,Diet,128mL,380mL,210,0,28,6
2100,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Protein Powder",Diet,134mL,307mL,129,5,7,1
2101,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,107mL,383mL,232,3,9,9
2102,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,137mL,284mL,198,4,12,4
2103,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Protein Powder",Diet,151mL,261mL,285,1,21,6
2104,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,133mL,292mL,56,8,1,8
2105,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,176mL,335mL,192,19,38,2
2106,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Protein Powder",Diet,102mL,261mL,87,18,8,1
2107,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Cocoa Powder",Bulking,196mL,321mL,102,17,37,5
2108,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Mint",Diet,169mL,236mL,172,15,29,4
2109,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,163mL,250mL,84,5,23,9
2110,Coconut Water,Water 200mL,Maca Powder,Diet,104mL,338mL,245,13,5,6
2111,Protein Shake,"Whey Protein 30g, Milk 200mL",Mint,Bulking,133mL,229mL,109,12,1,3
2112,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,188mL,387mL,249,12,24,1
2113,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,159mL,304mL,205,5,33,3
2114,Pomegranate Juice,Water 200mL,Lemon Zest,Bulking,136mL,370mL,107,6,39,2
2115,Elderberry,Water 200mL,"Rose Petals, Basil",Bulking,113mL,311mL,164,4,31,2
2116,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Cocoa Powder",Bulking,142mL,394mL,94,10,12,9
2117,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Honey",Diet,172mL,212mL,250,12,16,8
2118,Beetroot,Water 200mL,"Maple Syrup, Maca Powder",Diet,197mL,288mL,229,10,4,0
2119,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Ginger, Chia Seeds",Bulking,186mL,222mL,271,9,27,8
2120,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,143mL,398mL,264,2,22,1
2121,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,186mL,286mL,147,13,22,4
2122,Protein Shake,"Whey Protein 30g, Milk 200mL","Chia Seeds, Protein Powder",Bulking,134mL,380mL,122,19,39,8
2123,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,139mL,203mL,160,0,20,0
2124,Elderberry,Water 200mL,"Sea Salt, Maple Syrup",Bulking,146mL,231mL,292,17,25,3
2125,Protein Shake,"Whey Protein 30g, Milk 200mL",Cocoa Powder,Bulking,102mL,333mL,257,12,21,5
2126,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Ginger",Bulking,193mL,379mL,137,11,28,2
2127,Elderberry,Water 200mL,Maple Syrup,Bulking,120mL,333mL,190,12,1,0
2128,Turmeric,Water 200mL,Basil,Bulking,145mL,336mL,119,11,5,9
2129,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Mint",Bulking,199mL,346mL,78,16,32,9
2130,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,187mL,281mL,202,19,13,4
2131,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Protein Powder",Diet,113mL,354mL,171,15,25,5
2132,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Ginger",Diet,114mL,373mL,128,10,18,1
2133,Elderberry,Water 200mL,"Lemon Zest, Lavender",Bulking,119mL,321mL,117,5,21,3
2134,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,125mL,326mL,129,16,34,3
2135,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,115mL,356mL,195,19,30,1
2136,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Ginger",Diet,191mL,227mL,181,18,2,5
2137,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,186mL,373mL,159,10,29,8
2138,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Mint",Bulking,145mL,338mL,110,7,5,7
2139,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,102mL,244mL,50,14,39,3
2140,Aloe Vera,Water 200mL,"Rose Petals, Basil",Diet,153mL,339mL,201,4,24,6
2141,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Protein Powder, Chia Seeds",Bulking,126mL,351mL,155,13,12,0
2142,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Vanilla Extract",Diet,105mL,309mL,223,0,1,2
2143,Elderberry,Water 200mL,"Lavender, Maple Syrup",Diet,126mL,272mL,220,7,16,1
2144,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Cinnamon",Diet,139mL,286mL,163,2,33,6
2145,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,115mL,272mL,179,18,31,8
2146,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,194mL,321mL,167,10,10,5
2147,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,137mL,353mL,120,6,16,0
2148,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,116mL,300mL,167,15,7,2
2149,Matcha,Water 200mL,Maple Syrup,Bulking,121mL,307mL,117,5,16,2
2150,Elderberry,Water 200mL,"Lavender, Maple Syrup",Bulking,143mL,224mL,165,17,28,3
2151,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Cocoa Powder",Diet,188mL,241mL,282,17,14,9
2152,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Chia Seeds",Diet,127mL,282mL,150,9,18,8
2153,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,186mL,307mL,108,15,34,3
2154,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,199mL,201mL,227,7,2,6
2155,Milkshake,"Ice Cream 50g, Milk 150mL","Mint, Cinnamon",Bulking,118mL,359mL,93,16,27,0
2156,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Ginger",Diet,177mL,309mL,106,6,36,3
2157,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,167mL,321mL,184,7,11,0
2158,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Protein Powder",Diet,171mL,228mL,256,18,6,8
2159,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,127mL,282mL,226,11,12,3
2160,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cocoa Powder,Diet,156mL,220mL,291,19,22,5
2161,Kombucha,Water 200mL,"Rose Petals, Peppermint",Bulking,101mL,226mL,96,11,2,3
2162,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,199mL,211mL,246,16,24,5
2163,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Protein Powder",Diet,186mL,301mL,167,5,1,3
2164,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cocoa Powder",Diet,190mL,286mL,228,11,28,2
2165,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,178mL,320mL,109,17,22,2
2166,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Cocoa Powder",Diet,160mL,300mL,221,6,29,0
2167,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Honey",Bulking,155mL,311mL,257,6,0,4
2168,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,162mL,353mL,97,17,11,7
2169,Matcha,Water 200mL,"Maple Syrup, Rose Petals",Diet,149mL,355mL,264,7,25,5
2170,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,126mL,294mL,240,7,20,9
2171,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,118mL,311mL,255,10,6,8
2172,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,102mL,365mL,89,16,15,3
2173,Elderberry,Water 200mL,"Basil, Rose Petals",Diet,173mL,305mL,170,1,6,7
2174,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Mint",Bulking,195mL,275mL,244,4,17,7
2175,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Cocoa Powder",Bulking,125mL,304mL,212,9,0,6
2176,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Mint",Diet,134mL,264mL,280,16,19,2
2177,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,148mL,202mL,90,8,16,8
2178,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,144mL,227mL,183,1,38,0
2179,Matcha,Water 200mL,Lavender,Bulking,185mL,362mL,250,3,31,9
2180,Pomegranate Juice,Water 200mL,Maca Powder,Bulking,158mL,306mL,65,13,31,7
2181,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Cocoa Powder",Diet,110mL,357mL,284,16,18,1
2182,Beetroot,Water 200mL,"Maple Syrup, Basil",Bulking,111mL,267mL,52,18,30,3
2183,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Cinnamon",Bulking,120mL,333mL,154,4,4,3
2184,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Vanilla Extract",Diet,129mL,221mL,52,18,38,2
2185,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Ginger",Bulking,151mL,356mL,291,14,26,0
2186,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Cinnamon",Diet,128mL,362mL,247,6,35,2
2187,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Cocoa Powder",Diet,179mL,344mL,266,4,12,8
2188,Beetroot,Water 200mL,Lemon Zest,Bulking,117mL,293mL,214,19,25,3
2189,Turmeric,Water 200mL,Basil,Diet,123mL,395mL,284,15,5,9
2190,Lemon Water,"Lemon Juice 20mL, Water 180mL",Chia Seeds,Diet,196mL,276mL,187,1,14,1
2191,Aloe Vera,Water 200mL,"Rose Petals, Sea Salt",Diet,147mL,211mL,235,17,26,4
2192,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Vanilla Extract",Bulking,167mL,300mL,296,15,8,2
2193,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,198mL,294mL,189,13,13,5
2194,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cinnamon, Vanilla Extract",Bulking,187mL,328mL,179,6,14,9
2195,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Chia Seeds",Bulking,125mL,334mL,226,4,28,8
2196,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Protein Powder",Bulking,188mL,244mL,285,11,34,2
2197,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Ginger",Diet,199mL,319mL,154,3,9,2
2198,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Ginger",Bulking,181mL,314mL,235,15,31,0
2199,Elderberry,Water 200mL,"Rose Petals, Maca Powder",Diet,165mL,291mL,248,6,9,6
2200,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Cocoa Powder",Bulking,191mL,385mL,163,17,18,8
2201,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,166mL,347mL,106,14,2,4
2202,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Protein Powder",Diet,118mL,392mL,241,10,0,8
2203,Milkshake,"Ice Cream 50g, Milk 150mL","Mint, Cinnamon",Bulking,187mL,253mL,145,1,6,4
2204,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,180mL,378mL,253,3,24,3
2205,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,184mL,327mL,110,11,3,6
2206,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Vanilla Extract",Diet,160mL,294mL,245,19,7,1
2207,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,160mL,364mL,247,4,39,9
2208,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,134mL,229mL,288,8,16,1
2209,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,179mL,285mL,267,19,9,5
2210,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Ginger",Diet,155mL,388mL,195,12,8,5
2211,Elderberry,Water 200mL,Rose Petals,Bulking,171mL,253mL,201,6,18,5
2212,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,137mL,268mL,139,13,26,1
2213,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Protein Powder",Diet,120mL,397mL,173,0,3,3
2214,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,199mL,260mL,241,16,33,3
2215,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Honey",Bulking,124mL,297mL,290,2,29,3
2216,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Ginger",Diet,135mL,246mL,295,14,36,4
2217,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,136mL,379mL,172,12,21,6
2218,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,134mL,378mL,285,19,27,1
2219,Protein Shake,"Whey Protein 30g, Milk 200mL",Protein Powder,Bulking,126mL,209mL,276,4,17,5
2220,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Honey,Diet,109mL,201mL,132,6,33,8
2221,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Chia Seeds",Diet,154mL,232mL,98,8,21,3
2222,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Vanilla Extract,Bulking,135mL,351mL,263,10,20,3
2223,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Honey,Bulking,148mL,398mL,229,11,9,5
2224,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Chia Seeds",Bulking,116mL,375mL,153,5,9,8
2225,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Ginger",Diet,183mL,293mL,184,5,1,2
2226,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,131mL,264mL,126,12,27,2
2227,Aloe Vera,Water 200mL,"Rose Petals, Maca Powder",Diet,179mL,221mL,112,16,30,4
2228,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,174mL,360mL,288,7,27,1
2229,Elderberry,Water 200mL,"Lavender, Rose Petals",Diet,156mL,290mL,152,10,37,7
2230,Lemon Water,"Lemon Juice 20mL, Water 180mL","Ginger, Chia Seeds",Diet,171mL,213mL,93,16,36,2
2231,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cinnamon,Bulking,150mL,229mL,220,9,13,6
2232,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,113mL,286mL,166,15,36,8
2233,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Cinnamon",Bulking,116mL,345mL,128,5,7,0
2234,Matcha,Water 200mL,"Lavender, Rose Petals",Diet,133mL,374mL,119,15,27,8
2235,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Cocoa Powder",Bulking,181mL,334mL,183,12,19,5
2236,Pomegranate Juice,Water 200mL,"Peppermint, Rose Petals",Diet,122mL,300mL,287,11,0,3
2237,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Cocoa Powder",Bulking,172mL,342mL,296,15,22,0
2238,Lemon Water,"Lemon Juice 20mL, Water 180mL",Ginger,Diet,159mL,207mL,163,10,23,4
2239,Kombucha,Water 200mL,Basil,Diet,101mL,249mL,129,6,38,4
2240,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Vanilla Extract",Bulking,111mL,314mL,81,0,21,1
2241,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Cinnamon",Bulking,116mL,329mL,287,17,9,7
2242,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Ginger",Diet,167mL,244mL,279,1,37,5
2243,Protein Shake,"Whey Protein 30g, Milk 200mL","Cinnamon, Chia Seeds",Bulking,181mL,370mL,279,18,25,3
2244,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,133mL,266mL,230,18,18,0
2245,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Cocoa Powder",Diet,198mL,286mL,139,16,10,3
2246,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,129mL,200mL,161,11,28,8
2247,Milkshake,"Ice Cream 50g, Milk 150mL","Chia Seeds, Mint",Bulking,156mL,375mL,87,12,3,4
2248,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,177mL,232mL,141,7,22,5
2249,Lemon Water,"Lemon Juice 20mL, Water 180mL",Mint,Diet,148mL,377mL,191,17,27,0
2250,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Ginger,Bulking,136mL,213mL,116,3,32,0
2251,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Honey",Diet,100mL,383mL,84,7,16,0
2252,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,133mL,220mL,238,18,35,9
2253,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Cocoa Powder",Diet,161mL,244mL,287,13,30,1
2254,Beetroot,Water 200mL,"Lavender, Peppermint",Bulking,163mL,275mL,142,12,25,7
2255,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,125mL,255mL,59,9,19,9
2256,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Protein Powder",Bulking,149mL,360mL,268,2,17,0
2257,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Vanilla Extract",Diet,129mL,377mL,279,7,0,2
2258,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,153mL,340mL,213,6,16,8
2259,Pomegranate Juice,Water 200mL,"Maca Powder, Lemon Zest",Bulking,136mL,224mL,283,4,36,2
2260,Turmeric,Water 200mL,Maple Syrup,Diet,170mL,393mL,163,6,16,7
2261,Protein Shake,"Whey Protein 30g, Milk 200mL",Protein Powder,Bulking,155mL,355mL,159,19,27,7
2262,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Protein Powder",Diet,185mL,261mL,258,0,14,9
2263,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Cinnamon",Diet,147mL,234mL,72,1,29,5
2264,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Chia Seeds",Bulking,128mL,204mL,182,11,7,1
2265,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,138mL,355mL,163,4,11,8
2266,Coconut Water,Water 200mL,"Maple Syrup, Basil",Diet,188mL,386mL,54,5,4,6
2267,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,148mL,399mL,286,10,0,3
2268,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Ginger, Chia Seeds",Diet,156mL,282mL,223,14,15,5
2269,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,125mL,235mL,253,2,28,3
2270,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,161mL,310mL,59,0,17,5
2271,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,124mL,367mL,111,10,1,1
2272,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Mint, Vanilla Extract",Diet,193mL,341mL,226,18,6,1
2273,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Ginger",Bulking,167mL,284mL,298,2,10,9
2274,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,151mL,201mL,184,11,22,6
2275,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,147mL,365mL,81,3,29,5
2276,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,177mL,232mL,73,4,18,7
2277,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Ginger, Protein Powder",Bulking,130mL,396mL,100,15,15,5
2278,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Vanilla Extract",Diet,152mL,301mL,55,7,23,5
2279,Matcha,Water 200mL,Rose Petals,Diet,163mL,283mL,55,9,29,1
2280,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Protein Powder",Diet,196mL,383mL,136,6,0,0
2281,Lemon Water,"Lemon Juice 20mL, Water 180mL","Ginger, Cinnamon",Diet,150mL,248mL,125,1,8,0
2282,Green Tea,"Green Tea Leaves 5g, Water 200mL","Mint, Honey",Diet,148mL,388mL,107,18,7,6
2283,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,199mL,339mL,220,6,0,7
2284,Kombucha,Water 200mL,Maple Syrup,Bulking,106mL,264mL,111,18,33,8
2285,Kombucha,Water 200mL,"Maca Powder, Rose Petals",Diet,100mL,377mL,89,13,32,6
2286,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Cocoa Powder",Diet,187mL,308mL,201,0,23,4
2287,Lemon Water,"Lemon Juice 20mL, Water 180mL",Chia Seeds,Diet,144mL,266mL,155,2,11,3
2288,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Chia Seeds",Diet,162mL,242mL,251,6,27,6
2289,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Honey",Bulking,171mL,267mL,297,15,8,9
2290,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Cocoa Powder",Bulking,188mL,215mL,290,2,36,7
2291,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,133mL,314mL,149,1,2,4
2292,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,173mL,302mL,108,13,26,9
2293,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Honey,Bulking,126mL,202mL,67,1,22,6
2294,Coconut Water,Water 200mL,"Rose Petals, Lavender",Bulking,187mL,263mL,105,3,23,5
2295,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,157mL,290mL,198,4,39,6
2296,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,107mL,282mL,147,1,37,9
2297,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,111mL,346mL,191,10,8,0
2298,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,173mL,260mL,62,0,4,3
2299,Turmeric,Water 200mL,Maple Syrup,Diet,119mL,321mL,274,12,31,6
2300,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Cinnamon",Diet,181mL,288mL,178,2,20,9
2301,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Chia Seeds,Bulking,134mL,317mL,57,15,28,5
2302,Matcha,Water 200mL,Lavender,Bulking,152mL,350mL,295,8,32,6
2303,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,179mL,210mL,108,3,12,9
2304,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Cinnamon",Diet,125mL,342mL,221,1,29,8
2305,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Vanilla Extract",Diet,137mL,371mL,274,3,39,2
2306,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Chia Seeds",Bulking,190mL,267mL,219,5,39,3
2307,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Chia Seeds",Diet,152mL,261mL,56,17,16,4
2308,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Mint",Diet,155mL,357mL,111,8,14,8
2309,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,134mL,306mL,162,5,21,5
2310,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Vanilla Extract",Diet,164mL,324mL,104,14,36,3
2311,Pomegranate Juice,Water 200mL,Maple Syrup,Diet,127mL,343mL,100,3,31,8
2312,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,146mL,300mL,63,10,23,6
2313,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Mint",Diet,196mL,221mL,130,15,21,3
2314,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,144mL,257mL,57,14,3,5
2315,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Honey,Diet,135mL,225mL,68,4,2,0
